Spanish
Chinese
Asian
Sandwiches
Italian
Other
Mexican
"Juice, Smoothies, Fruit Salads"
Hotdogs
American
Peruvian
"Cakes, Cupcakes, Desserts"
Hamburgers
"Bottled beverages, including water, sodas, juices, etc."
"Ice Cream, Gelato, Yogurt, Ices"
"Caribbean (Inc. Cuban, Puerto Rican)"
Vegetarian
Pizza
Middle Eastern
Chicken
Russian
Tex-Mex
Indian
Café/Coffee/Tea
Latin American (Central and South America)
Vietnamese/Cambodian/Malaysia
Japanese
Mediterranean
Pakistani
Bagels/Pretzels
Hawaiian
Donuts
Creole
Jewish/Kosher
Tapas
Indonesian
Filipino
Steak
Sandwiches/Salads/Mixed Buffet
African
Thai
Pancakes/Waffles
Korean
Eastern European
Greek
Irish
French
Seafood
Turkish
Egyptian
Chinese/Cuban
Portuguese
German
Barbecue
Salads
Australian
Soups/Salads/Sandwiches
Bangladeshi
Iranian
Southwestern
Hotdogs/Pretzels
Vegan
Soul Food
Continental
Polish
Ethiopian
Brazilian
Scandinavian
Moroccan
Chinese/Japanese
Cajun
Creole/Cajun
Afghan
Not Listed/Not Applicable
Californian
Soups
Chilean
English
Czech
Nuts/Confectionary
Fruits/Vegetables
Basque
